location,type,variable,project,experiment,frequency
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/pr_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,pr,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/tn_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,tn,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/rx1day_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,rx1day,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/tx_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,tx,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/txx_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,txx,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/tnn_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,tnn,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/sfcwind_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,sfcwind,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/cdd_CORDEX-ANT_historical_yr_1970-2005.nc,opendap,cdd,CORDEX-ANT,historical,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/t_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,t,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/historical/rx5day_CORDEX-ANT_historical_mon_197001-200512.nc,opendap,rx5day,CORDEX-ANT,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/cdd_CORDEX-ANT_rcp85_yr_2006-2100.nc,opendap,cdd,CORDEX-ANT,rcp85,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/t_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,t,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/txx_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,txx,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/tx_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,tx,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/rx5day_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,rx5day,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/tnn_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,tnn,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/tn_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,tn,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/pr_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,pr,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/rx1day_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,rx1day,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp85/sfcwind_CORDEX-ANT_rcp85_mon_200601-210012.nc,opendap,sfcwind,CORDEX-ANT,rcp85,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/pr_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,pr,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/tx_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,tx,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/tn_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,tn,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/rx5day_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,rx5day,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/cdd_CORDEX-ANT_rcp45_yr_2006-2100.nc,opendap,cdd,CORDEX-ANT,rcp45,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/tnn_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,tnn,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/t_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,t,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/txx_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,txx,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/rx1day_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,rx1day,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CORDEX-ANT/rcp45/sfcwind_CORDEX-ANT_rcp45_mon_200601-210012.nc,opendap,sfcwind,CORDEX-ANT,rcp45,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/rx5day_CMIP6_ssp245_mon_201501-210012.nc,opendap,rx5day,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/sst_CMIP6_ssp245_mon_201501-210012.nc,opendap,sst,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/hd_CMIP6_ssp245_yr_2015-2100.nc,opendap,hd,CMIP6,ssp245,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/tn_CMIP6_ssp245_mon_201501-210012.nc,opendap,tn,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/fd_CMIP6_ssp245_mon_201501-210012.nc,opendap,fd,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/pr_CMIP6_ssp245_mon_201501-210012.nc,opendap,pr,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/cdd_CMIP6_ssp245_yr_2015-2100.nc,opendap,cdd,CMIP6,ssp245,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/prsn_CMIP6_ssp245_mon_201501-210012.nc,opendap,prsn,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/cd_CMIP6_ssp245_yr_2015-2100.nc,opendap,cd,CMIP6,ssp245,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/txx_CMIP6_ssp245_mon_201501-210012.nc,opendap,txx,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/tx35_CMIP6_ssp245_mon_201501-210012.nc,opendap,tx35,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/t_CMIP6_ssp245_mon_201501-210012.nc,opendap,t,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/ph_CMIP6_ssp245_mon_201501-210012.nc,opendap,ph,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/siconc_CMIP6_ssp245_mon_201501-210012.nc,opendap,siconc,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/tx_CMIP6_ssp245_mon_201501-210012.nc,opendap,tx,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/spi6_CMIP6_ssp245_mon_201501-210012.nc,opendap,spi6,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/rx1day_CMIP6_ssp245_mon_201501-210012.nc,opendap,rx1day,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/sfcwind_CMIP6_ssp245_mon_201501-210012.nc,opendap,sfcwind,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/tnn_CMIP6_ssp245_mon_201501-210012.nc,opendap,tnn,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp245/tx40_CMIP6_ssp245_mon_201501-210012.nc,opendap,tx40,CMIP6,ssp245,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tn_CMIP6_historical_mon_185001-201412.nc,opendap,tn,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tx35ba_CMIP6_historical_mon_195001-201412.nc,opendap,tx35ba,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/sst_CMIP6_historical_mon_185001-201412.nc,opendap,sst,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/rx1day_CMIP6_historical_mon_185001-201412.nc,opendap,rx1day,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/spi6_CMIP6_historical_mon_185001-201412.nc,opendap,spi6,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/prsn_CMIP6_historical_mon_185001-201412.nc,opendap,prsn,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/ph_CMIP6_historical_mon_185001-201412.nc,opendap,ph,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/sfcwind_CMIP6_historical_mon_185001-201412.nc,opendap,sfcwind,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/cd_CMIP6_historical_yr_1850-2014.nc,opendap,cd,CMIP6,historical,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tnn_CMIP6_historical_mon_185001-201412.nc,opendap,tnn,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/hd_CMIP6_historical_yr_1850-2014.nc,opendap,hd,CMIP6,historical,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tx40_CMIP6_historical_mon_185001-201412.nc,opendap,tx40,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tx_CMIP6_historical_mon_185001-201412.nc,opendap,tx,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/cdd_CMIP6_historical_yr_1850-2014.nc,opendap,cdd,CMIP6,historical,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/txx_CMIP6_historical_mon_185001-201412.nc,opendap,txx,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/pr_CMIP6_historical_mon_185001-201412.nc,opendap,pr,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/rx5day_CMIP6_historical_mon_185001-201412.nc,opendap,rx5day,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/t_CMIP6_historical_mon_185001-201412.nc,opendap,t,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tx40ba_CMIP6_historical_mon_195001-201412.nc,opendap,tx40ba,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/tx35_CMIP6_historical_mon_185001-201412.nc,opendap,tx35,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/fd_CMIP6_historical_mon_185001-201412.nc,opendap,fd,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/historical/siconc_CMIP6_historical_mon_185001-201412.nc,opendap,siconc,CMIP6,historical,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/cd_CMIP6_ssp585_yr_2015-2100.nc,opendap,cd,CMIP6,ssp585,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/tx40ba_CMIP6_ssp585_mon_201501-210012.nc,opendap,tx40ba,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/tx35_CMIP6_ssp585_mon_201501-210012.nc,opendap,tx35,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/tx40_CMIP6_ssp585_mon_201501-210012.nc,opendap,tx40,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/pr_CMIP6_ssp585_mon_201501-210012.nc,opendap,pr,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/ph_CMIP6_ssp585_mon_201501-210012.nc,opendap,ph,CMIP6,ssp585,mon
