name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
local,0,87.55687141418457,118026,373764,446,460,0,0,0,0,1
local,1,87.52536177635193,64173,253501,345,356,0,0,0,0,1
local,2,87.12590527534485,32754,81943,224,238,0,0,0,0,1
local,3,87.04582047462463,18712,19642,175,190,0,0,0,0,1
local,4,87.53426098823547,18640,19508,174,188,0,0,0,0,1
local,0,77.5766990184784,17195,18076,160,174,0,0,0,0,2
local,1,78.33094525337219,17460,18138,163,174,0,0,0,0,2
local,2,77.94528102874756,17532,18272,164,176,0,0,0,0,2
local,3,77.46902966499329,16508,17438,155,170,0,0,0,0,2
local,4,78.6970579624176,18081,18776,167,178,0,0,0,0,2
local,0,76.4131371974945,17096,17304,164,168,0,0,0,0,4
local,1,88.54418468475342,59700,288241,346,349,0,0,0,0,4
local,2,94.01353073120117,22203,22618,209,216,0,0,0,0,4
local,3,94.22780442237854,20540,20744,196,200,0,0,0,0,4
local,4,94.94419741630554,21444,21846,203,210,0,0,0,0,4
local,0,103.08548378944397,23329,24256,219,234,0,0,0,0,8
local,1,80.53290581703186,17526,18138,164,174,0,0,0,0,8
local,2,77.92886734008789,16826,17170,160,166,0,0,0,0,8
local,3,75.9861478805542,17602,18272,165,176,0,0,0,0,8
local,4,78.29284858703613,17255,17942,161,172,0,0,0,0,8
opendap-hub-uncompressed,0,291.22607827186584,9299896827,73391297,1681047,1091173,0,0,0,0,1
opendap-hub-uncompressed,1,290.9647686481476,9302492635,74858754,1722907,1117828,0,0,0,0,1
opendap-hub-uncompressed,2,290.65002846717834,9302121469,75013696,1717218,1116406,0,0,0,0,1
opendap-hub-uncompressed,3,291.24478697776794,9299190379,73396260,1673032,1100765,0,0,0,0,1
opendap-hub-uncompressed,4,291.0896108150482,9303496013,75851264,1738414,1136704,0,0,0,0,1
opendap-hub-uncompressed,0,167.73911023139954,9302097955,76922178,1717517,1154921,0,0,0,0,2
opendap-hub-uncompressed,1,167.19856882095337,9301019350,76312964,1701276,1146931,0,0,0,0,2
opendap-hub-uncompressed,2,169.570458650589,9300674671,75540888,1695953,1134361,0,0,0,0,2
opendap-hub-uncompressed,3,167.79996919631958,9304383867,77495056,1751369,1163493,0,0,0,0,2
opendap-hub-uncompressed,4,167.05929255485535,9300388030,76138337,1687205,1143666,0,0,0,0,2
opendap-hub-uncompressed,0,160.0413110256195,9279780059,68520140,1378958,1026701,0,0,0,0,4
opendap-hub-uncompressed,1,159.96542882919312,9283365532,70266826,1433860,1053470,0,0,0,0,4
opendap-hub-uncompressed,2,159.5709991455078,9283795066,70935952,1439582,1055792,0,0,0,0,4
opendap-hub-uncompressed,3,160.54997849464417,9284879642,71367178,1456821,1069908,0,0,0,0,4
opendap-hub-uncompressed,4,160.1565637588501,9284628149,71220009,1452746,1065756,0,0,0,0,4
opendap-hub-uncompressed,0,159.15208673477173,9306441190,84763112,1782419,1267231,0,0,0,0,8
opendap-hub-uncompressed,1,159.74550366401672,9307568474,85602350,1800211,1279687,0,0,0,0,8
opendap-hub-uncompressed,2,159.23170638084412,9306629418,85656559,1786322,1278323,0,0,0,0,8
opendap-hub-uncompressed,3,158.69729161262512,9304257124,84586928,1750231,1264473,0,0,0,0,8
opendap-hub-uncompressed,4,158.84176301956177,9307607235,86204460,1801092,1288223,0,0,0,0,8
opendap-hub-compressed,0,1158.5487325191498,5219211681,27840608,1177942,402947,0,0,0,0,1
opendap-hub-compressed,1,1147.2007703781128,5220150696,29101436,1189808,400981,0,0,0,0,1
opendap-hub-compressed,2,1183.912971496582,5220975244,31437212,1178232,406797,0,0,0,0,1
opendap-hub-compressed,3,1178.4706468582153,5221211508,33257996,1175231,405658,0,0,0,0,1
opendap-hub-compressed,4,1185.6894104480743,5229462413,44711643,1192265,420192,0,0,0,0,1
opendap-hub-compressed,0,608.7352428436279,5226373516,38855477,1215408,463814,0,0,0,0,2
opendap-hub-compressed,1,609.4785087108612,5227680087,38678257,1223008,463399,0,0,0,0,2
opendap-hub-compressed,2,607.9161891937256,5223659847,35585187,1219875,463152,0,0,0,0,2
opendap-hub-compressed,3,617.2356283664703,5221730405,32760191,1212159,457568,0,0,0,0,2
opendap-hub-compressed,4,596.8378114700317,5223021400,34136450,1213015,457792,0,0,0,0,2
opendap-hub-compressed,0,322.68103098869324,5221871833,33984278,1213085,482554,0,0,0,0,4
opendap-hub-compressed,1,317.8888816833496,5221609022,33724545,1213936,478235,0,0,0,0,4
opendap-hub-compressed,2,317.9880440235138,5221321140,34063902,1209816,484105,0,0,0,0,4
opendap-hub-compressed,3,317.26736879348755,5221766901,33976275,1213539,481655,0,0,0,0,4
opendap-hub-compressed,4,322.37287402153015,5220813587,32546662,1205297,481397,0,0,0,0,4
opendap-hub-compressed,0,169.35242438316345,5217391321,33526340,1154092,501188,0,0,0,0,8
opendap-hub-compressed,1,177.33514785766602,5217366080,33736008,1153792,504355,0,0,0,0,8
opendap-hub-compressed,2,164.77407121658325,5217014589,33149738,1148533,495541,0,0,0,0,8
opendap-hub-compressed,3,177.5552179813385,5216117185,35641793,1134801,531119,0,0,0,0,8
opendap-hub-compressed,4,181.74536108970642,5214474095,39156498,1109744,582781,0,0,0,0,8
